activity_bin_left,activity_bin_right,activity_bin_midpoint,n_sequences,density,mean_mutated_motif_positions
-2.8888626098632812,-2.801914973258972,-2.8453887915611267,400,0.2300235035831761,1.3975
-2.801914973258972,-2.714967336654663,-2.7584411549568175,403,0.23174867986004993,1.1265508684863523
-2.714967336654663,-2.628019700050354,-2.6714935183525084,397,0.22829832730630228,1.0050377833753148
-2.628019700050354,-2.541072063446045,-2.584545881748199,401,0.23059856234213522,0.8678304239401496
-2.541072063446045,-2.454124426841736,-2.4975982451438905,399,0.22944844482421817,0.7919799498746867
-2.454124426841736,-2.3671767902374268,-2.4106506085395814,400,0.2300235035831761,0.65
-2.3671767902374268,-2.2802291536331176,-2.323702971935272,400,0.2300235035831761,0.56
-2.2802291536331176,-2.1932815170288085,-2.236755335330963,400,0.2300235035831761,0.515
-2.1932815170288085,-2.1063338804244998,-2.1498076987266543,400,0.23002350358317727,0.3725
-2.1063338804244998,-2.0193862438201906,-2.062860062122345,400,0.2300235035831761,0.325
-2.0193862438201906,-1.9324386072158815,-1.975912425518036,400,0.2300235035831761,0.2925
-1.9324386072158815,-1.8454909706115723,-1.8889647889137269,400,0.2300235035831761,0.3
-1.8454909706115723,-1.7585433340072631,-1.8020171523094177,400,0.2300235035831761,0.2025
-1.7585433340072631,-1.671595697402954,-1.7150695157051086,400,0.2300235035831761,0.1975
-1.671595697402954,-1.584648060798645,-1.6281218791007994,400,0.2300235035831767,0.1775
-1.584648060798645,-1.497700424194336,-1.5411742424964905,400,0.2300235035831761,0.1675
-1.497700424194336,-1.4107527875900268,-1.4542266058921813,400,0.2300235035831761,0.155
-1.4107527875900268,-1.3238051509857178,-1.3672789692878724,400,0.2300235035831767,0.205
-1.3238051509857178,-1.2368575143814087,-1.2803313326835633,400,0.2300235035831761,0.135
-1.2368575143814087,-1.1499098777770995,-1.193383696079254,401,0.23059856234213405,0.09226932668329177
-1.1499098777770995,-1.0629622411727906,-1.106436059474945,399,0.22944844482421875,0.10025062656641603
-1.0629622411727906,-0.9760146045684814,-1.019488422870636,400,0.2300235035831761,0.11
-0.9760146045684814,-0.8890669679641723,-0.9325407862663269,401,0.23059856234213405,0.1396508728179551
-0.8890669679641723,-0.8021193313598634,-0.8455931496620178,399,0.22944844482421875,0.12030075187969924
-0.8021193313598634,-0.7151716947555542,-0.7586455130577088,401,0.23059856234213405,0.12468827930174564
-0.7151716947555542,-0.628224058151245,-0.6716978764533996,399,0.22944844482421817,0.11278195488721804
-0.628224058151245,-0.5412764215469359,-0.5847502398490905,400,0.2300235035831761,0.125
-0.5412764215469359,-0.45432878494262674,-0.4978026032447813,401,0.23059856234213405,0.08728179551122195
-0.45432878494262674,-0.36738114833831803,-0.4108549666404724,399,0.22944844482421933,0.09022556390977443
-0.36738114833831803,-0.2804335117340089,-0.32390733003616345,400,0.2300235035831761,0.125
-0.2804335117340089,-0.19348587512969972,-0.2369596934318543,400,0.2300235035831761,0.0825
-0.19348587512969972,-0.10653823852539057,-0.15001205682754515,400,0.2300235035831761,0.0725
-0.10653823852539057,-0.01959060192108142,-0.063064420223236,400,0.2300235035831761,0.12
-0.01959060192108142,0.06735703468322773,0.023883216381073158,400,0.2300235035831761,0.1
0.06735703468322773,0.1543046712875369,0.11083085298538231,400,0.2300235035831761,0.0925
0.1543046712875369,0.2412523078918456,0.19777848958969124,400,0.23002350358317727,0.095
0.2412523078918456,0.32819994449615475,0.2847261261940002,400,0.2300235035831761,0.1575
0.32819994449615475,0.4151475811004639,0.3716737627983093,400,0.2300235035831761,0.1025
0.4151475811004639,0.5020952177047731,0.4586213994026185,400,0.2300235035831761,0.13
0.5020952177047731,0.5890428543090822,0.5455690360069276,400,0.2300235035831761,0.165
0.5890428543090822,0.6759904909133914,0.6325166726112368,400,0.2300235035831761,0.135
0.6759904909133914,0.7629381275177001,0.7194643092155457,400,0.23002350358317727,0.1375
0.7629381275177001,0.8498857641220092,0.8064119458198546,400,0.2300235035831761,0.15
0.8498857641220092,0.9368334007263184,0.8933595824241638,400,0.2300235035831761,0.15
0.9368334007263184,1.0237810373306275,0.980307219028473,400,0.2300235035831761,0.2025
1.0237810373306275,1.1107286739349367,1.067254855632782,400,0.2300235035831761,0.2375
1.1107286739349367,1.1976763105392454,1.154202492237091,400,0.23002350358317727,0.355
1.1976763105392454,1.2846239471435545,1.2411501288414,400,0.2300235035831761,0.34
1.2846239471435545,1.3715715837478637,1.3280977654457091,400,0.2300235035831761,0.4925
1.3715715837478637,1.4585192203521729,1.4150454020500183,400,0.2300235035831761,0.5575
